address,cap_amount
0x7442Ecc6C7545001Fa111b2536BBC1162B01646F,1.9
0x7fe51EF19a4dac6F76F7dBaBb2428b722dA41c12,1.9
0x78eADf900c1A2D157EDf4F34737F3cAEd5d5Dec4,1.9
0x4b3aa773F44e620cBE3d2AFfe0dc2c25eb72e3Df,1.9
0x8f4f67406c02d8d17507687d3d303c3723f47b41,1.9
0xc94527FdE2d01dd166991231120dCC2A6F09c303,1.9
0xD18C96b6Cd70987189b95e02B27d98e681BBA100,1.9
0xA72e1756426100c6207421471449E2Ba9A917e86,1.5
0xf38b07B8ac72Ad70806E902c2ecFb7EdD36cA3f5,1.5
0xF1F957595dc117128BF7d3AC5f71042a889b826a,1.5
0xF90f56AFa1DaE825Db57fc305B2F8F1Ccf337531,1.5
0x0a3043f9d2b1c6ccfc492eb59af5156f378c57bd,1.5
0xe4495842d915738d659609727a51e39d15b66778,1.5
0xdc43d0c0497fbf3bb3cf43dcaface9c116d5dd21,1.3
0x7eb1821ac65c5387e82ef2e26eae7c49e7ba0f19,1.3
0x5d65A068426A802f77dDaf2b6038533F3C135Aa6,1.3
0x971740Ed368934875f1890898D5FFC10EA99FA43,1.3
0x4815Ee939fE2efeC2f7bc415f0cE2282f6417fe9,1.3
0x3462adfAc4689c1571F16185E66Eb1B7D9ABa3Ee,1.3
0x97Db0E57b1C315a08cc889Ed405ADB100D7F137d,1.3
0x50e154ad82b3D9BfCfBA58E4A6F45438e1f69CDa,1.3
0x7d0a940d81ce63ce716a1e3cd7372f78f79d2414,1.3
0x3048181b1ed56CE97ea4cFe2993c06b488D11fa6,1.3
0x3908d83cf4523BFbcB4f5Fe32ccF1d129853908e,1.3
0x39B3913C1C279C2cfc964aC8061f4797826D6429,1.3
0xbbAE0E0795294Bb37F9B7CEE715E7F15602f67DD,1.3
0x49Ab5fc10011685912a9b36B0eE4deF3BA74700E,1.3
0x2385233abb910357e2b97A16D40e0443e53d0769,1.3
0x7798Ba9512B5A684C12e31518923Ea4221A41Fb9,1.3
0x14152B9F77c31450F8999F99201c646C8bC6474F,1.3
0xA4666eA5CB0c088E7B7ca1bb808a27a22E8290A6,1.3
0xd67da12dc33d9730d9341BBFA4F0B67D0688b28B,1.3
0x2c820271ADE646fDb3D6D0002712Ee6bdc7DC173,1.3
0x74ae37B023f411ff80f3a98D1F4680F38F029e57,1.3
0x3214e141bdAe08Be1f382A885cf3d2a448A5E780,1.3
0xC3A3580319086a851d5506d57E14380c0Af5Be7e,1.3
0x2F995bF4f1290A0E7305fD738ca696d5248d9451,1.0
0x728c3d744B8d1482f74c73C8ED945F47De6e30a8,1.0
0xd765fae02968e255dc35d1955b291196a6c445f2,1.0
0x5fa85E6FEa19F73f92E665c1d4A0d20F0467d33E,1.0
0xDD5730a33719083470e641cF0e4154Dd04D5738d,1.0
0xd7e938d278a827809af1572e0a9f5cfd91493268,1.0
0x5E0963d12e57d7F3A66ba110e464F542087c43E6,1.0
0xE1fD2490ACcf96e389BAd8327D743B26b2F68D2D,1.0
0x92e62E96BB8B46a059EcA415A4329a558383ee6D,1.0
0xFc25770EB62948c070609ad39cF430F13BD3d9dc,1.0
0x2513c99C1A778EDdAA7F19BCea6B05cacfd24056,1.0
0x5A16bF36DbB426AC33369A0F4c213C12AC5A5603,1.0
0xc94527FdE2d01dd166991231120dCC2A6F09c303,1.0
0x6A9065271055E710116209C8032D2e18e42535A7,0.9
0x5d5EDf52d270BD73011b6200494617775Bb85006,0.9
0x53E937d20e07cF2266e38bc8a7257D93a1fEa88d,0.9
0xfcb639A3fbAC2243aa93f00eBB73085959aB9996,0.9
0xF6E0ccbfEa6405E3D6773C218C58C4273B602DBA,0.9
0x9b4c436f40e7fbae7bad8b7547a2e8652c71b6c5,0.9
0xb518Fa2F579DA46596B539338c695a197AF28BfA,0.9
0x56e08babb8bf928bd8571d2a2a78235ae57ae5bd,0.9
